country,date,GDP,"Inflation, GDP deflator (annual %)","Foreign direct investment, net inflows (% of GDP)",Agricultural land,Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Deposit money banks'' assets to GDP (%)
United Kingdom,1981,540765675241.158,11.5692628194882,1.08723167304469,75.7243830860166,25.973624319453,23.114806102161,30.86014
United Kingdom,1980,564947710899.373,19.7037946351815,1.79181968888777,76.3402637126441,26.6093777381045,24.3901985627136,26.21587
United Kingdom,1979,438994070309.191,14.0665414144871,1.47370581928106,76.2699954532303,27.3714481434491,26.9678657745317,25.86194
United Kingdom,1978,335883029721.956,11.4575469497378,1.12758624698224,76.3774645558633,28.004789824335,26.6523238355132,25.59901
United Kingdom,1977,263066457352.172,13.7104941744667,1.68267205120844,76.4270656801554,29.6620942075111,28.9211191120306,26.08476
United Kingdom,1976,232614555256.065,15.1135672458945,1.29235580557936,76.7494729880544,28.0034051757435,29.0871355735805,27.36192
United Kingdom,1975,241756637168.142,25.7707279916172,1.37267618730267,76.8114743934196,25.3940562256346,27.064252246646,28.31415
United Kingdom,1974,206131369798.971,15.0592125800563,2.12182327411176,77.0388128797586,26.8125727180976,31.6085039066487,35.19953
United Kingdom,1973,192537971582.558,8.41487857295569,1.41412745627602,77.2785516471707,22.44065577525,24.7402435300405,33.5649
United Kingdom,1972,169965034965.035,7.18825178365192,0.710712760088409,77.5265572686314,20.6282011343933,20.7131395656391,28.55086
United Kingdom,1971,148113896325.14,7.98562450396294,1.19585291667596,77.8861654197495,21.8832780151167,20.5109792967466,20.75255
United Kingdom,1970,130671946244.3,5.53973503072942,1.13872859052871,77.9109659818956,21.8005674826909,20.9482378652366,19.81598
